"institute.name","School.board","City.x","School.Code","School.Name","Board.Name","City.y","mm","city_match"
"St. Gabriel Catholic Elementary School","Brant Haldimand Norfolk DSB","Brantford","793884","St. Gabriel Catholic Elementary School","Halton CDSB","Burlington",1,FALSE
"St. Gabriel Catholic Elementary School","Brant Haldimand Norfolk DSB","Brantford","825892","St. Gabriel Catholic Elementary School","Hamilton-Wentworth CDSB","Stoney Creek",1,FALSE
"St. Gabriel Catholic Elementary School","Brant Haldimand Norfolk DSB","Brantford","831724","St Gabriel Catholic Elementary School","Waterloo CDSB","Cambridge",1,FALSE
"Senator O'Connor College School","Toronto CDSB","North York","763772","Senator O'Connor College School","Toronto CDSB","Toronto",1,FALSE
"École secondaire publique l'Alternative","CEPEO","Ottawa","920550","École secondaire publique L'Alternative","CÉP de l'Est de l'Ontario","Ottawa",1,TRUE
"Assumption College School","Brant Haldimand Norfolk DSB","Brantford","688363","Assumption College School","Windsor-Essex CDSB","Windsor",1,FALSE
"R S McLaughlin Collegiate and Vocational Institute","Durham DSB","Oshawa","937525","R S Mclaughlin Collegiate and Vocational Institute","Durham DSB","Oshawa",1,TRUE
"St. Charles Catholic School","Toronto CDSB","North York","782181","St Charles Catholic School","Sudbury CDSB","Chelmsford",1,FALSE
"St. Charles Catholic School","Toronto CDSB","North York","782963","St Charles Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Jane Frances Catholic School","Toronto CDSB","North York","799734","St Jane Frances Catholic School","Toronto CDSB","North York",1,TRUE
"St Jerome Catholic School","Toronto CDSB","North York","800775","St Jerome Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Mark Catholic School","Toronto CDSB","Etobicoke","814555","St. Mark Catholic School","CDSB of Eastern Ontario","Prescott",1,FALSE
"St. Mark Catholic School","Toronto CDSB","Etobicoke","822744","St Mark Catholic School","Sudbury CDSB","Markstay",1,FALSE
"St. Mark Catholic School","Toronto CDSB","Etobicoke","822876","St Mark Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Roch Catholic School","Toronto CDSB","North York","849812","St Roch Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Ursula Catholic School","Toronto CDSB","Scarborough","856800","St Ursula Catholic School","St Clair CDSB","Chatham",1,FALSE
"St. Ursula Catholic School","Toronto CDSB","Scarborough","856932","St Ursula Catholic School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire catholique Notre-Place","CECCE","OrlÃ©ans","796656","École élémentaire catholique Notre-Place","CSDC du Centre-Est de l'Ontario","Orleans",1,FALSE
"Sir John A MacDonald Public School","Limestone DSB","Kingston","515523","Sir John A Macdonald Public School","Durham DSB","Pickering",1,FALSE
"Sir John A MacDonald Public School","Limestone DSB","Kingston","515639","Sir John A Macdonald Public School","Hastings & Prince Edward DSB","Belleville",1,FALSE
"Sir John A MacDonald Public School","Limestone DSB","Kingston","515787","Sir John A Macdonald Public School","Thames Valley DSB","London",1,FALSE
"École secondaire catholique Garneau","CECCE","OrlÃ©ans","710903","École secondaire catholique Garneau","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"École élémentaire catholique Saint-Joseph d'Orléans","CECCE","Ottawa","703095","École élémentaire catholique Saint-Joseph d'Orléans","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"St Victor Catholic School","Toronto CDSB","Scarborough","857742","St Victor Catholic School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire publique L'Odyssée","CEPEO","Orleans","156108","École élémentaire publique L'Odyssée","CÉP de l'Est de l'Ontario","Orléans",1,FALSE
"James Culnan Catholic School","Toronto CDSB","York","723576","James Culnan Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Bede Catholic School","Toronto CDSB","Scarborough","776700","St Bede Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Brigid Catholic School","Toronto CDSB","Toronto","780880","St Brigid Catholic School","Toronto CDSB","Toronto",1,TRUE
"St. Antoine Daniel Catholic School","Simcoe Muskoka CDSB","Victoria Harbour","775061","St Antoine Daniel Catholic School","Simcoe Muskoka CDSB","Victoria Harbour",1,TRUE
"St. Antoine Daniel Catholic School","Simcoe Muskoka CDSB","Victoria Harbour","785857","St Antoine Daniel Catholic School","Toronto CDSB","Toronto",1,FALSE
"St Matthew Catholic School","Toronto CDSB","York","773757","St Matthew Catholic School","St Clair CDSB","Sarnia",1,FALSE
"St Matthew Catholic School","Toronto CDSB","York","832367","St Matthew Catholic School","Toronto CDSB","Toronto",1,FALSE
"Groh Public School","Waterloo Regional DSB","Waterloo","609422","Groh Public School","Waterloo Region DSB","Kitchener",1,FALSE
"Brebeuf College School","Toronto CDSB","North York","690961","Brebeuf College School","Toronto CDSB","Toronto",1,FALSE
"Cardinal Leger Catholic School","Toronto CDSB","Scarborough","695408","Cardinal Leger Catholic School","Toronto CDSB","Toronto",1,FALSE
"Chaminade College School","Toronto CDSB","North York","695947","Chaminade College School","Toronto CDSB","Toronto",1,FALSE
"Loretto Abbey Catholic Secondary School","Toronto CDSB","North York","728055","Loretto Abbey Catholic Secondary School","Toronto CDSB","Toronto",1,FALSE
"Our Lady of Fatima Catholic School","Toronto CDSB","Scarborough","742279","Our Lady of Fatima Catholic School","Algonquin and Lakeshore CDSB","Belleville",1,FALSE
"Our Lady of Fatima Catholic School","Toronto CDSB","Scarborough","742929","Our Lady of Fatima Catholic School","Huron-Superior CDSB","Elliot Lake",1,FALSE
"Our Lady of Fatima Catholic School","Toronto CDSB","Scarborough","744093","Our Lady of Fatima Catholic School","Huron-Superior CDSB","Chapleau",1,FALSE
"Our Lady of Fatima Catholic School","Toronto CDSB","Scarborough","743984","Our Lady of Fatima Catholic School","St Clair CDSB","Chatham",1,FALSE
"Our Lady of Fatima Catholic School","Toronto CDSB","Scarborough","743704","Our Lady of Fatima Catholic School","Toronto CDSB","Toronto",1,FALSE
"Our Lady of Peace Catholic School","Toronto CDSB","Etobicoke","747602","Our Lady of Peace Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Andre Catholic School","Toronto CDSB","North York","845182","St Andre Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Anselm Catholic School","Toronto CDSB","East York","772437","St Anselm Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Luigi Catholic School","Toronto CDSB","Toronto","820610","St Luigi Catholic School","Toronto CDSB","Toronto",1,TRUE
"St. Mary of the Angels Catholic School","Toronto CDSB","Toronto","827290","St Mary of the Angels Catholic School","Toronto CDSB","Toronto",1,TRUE
"St. Patrick Catholic Secondary School","Toronto CDSB","Toronto","838268","St Patrick Catholic Secondary School","Toronto CDSB","Toronto",1,TRUE
"Westcreek Public School","Durham DSB","Pickering","598909","Westcreek Public School","Durham DSB","PICKERING",1,FALSE
"École élémentaire catholique Arc-en-ciel","CECCE","Orleans","705047","École élémentaire catholique Arc-en-ciel","CSDC du Centre-Est de l'Ontario","Orléans",1,FALSE
"Holy Rosary Catholic School","Toronto CDSB","York","719919","Holy Rosary Catholic School","Algonquin and Lakeshore CDSB","Belleville",1,FALSE
"Holy Rosary Catholic School","Toronto CDSB","York","719269","Holy Rosary Catholic School","St Clair CDSB","Wyoming",1,FALSE
"Holy Rosary Catholic School","Toronto CDSB","York","719528","Holy Rosary Catholic School","Toronto CDSB","Toronto",1,FALSE
"Holy Rosary Catholic School","Toronto CDSB","York","718610","Holy Rosary Catholic School","Wellington CDSB","Guelph",1,FALSE
"St. Alphonsus Catholic School","Toronto CDSB","York","767913","St Alphonsus Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Stephen Catholic School","Toronto CDSB","Etobicoke","850829","St Stephen Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Bernard Catholic School","Toronto CDSB","North York","762083","St Bernard Catholic School","Durham CDSB","Whitby",1,FALSE
"St. Bernard Catholic School","Toronto CDSB","North York","778800","St Bernard Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Francis Xavier Catholic School","Toronto CDSB","North York","792454","St Francis Xavier Catholic School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire publique Charlotte-Lemieux","CEPEO","Ottawa","412597","École élémentaire publique Charlotte Lemieux","CÉP de l'Est de l'Ontario","Ottawa",1,TRUE
"St John XXIII Catholic School","Toronto CDSB","North York","724084","St John XXIII Catholic School","Durham CDSB","Oshawa",1,FALSE
"St John XXIII Catholic School","Toronto CDSB","North York","724122","St John XXIII Catholic School","Toronto CDSB","Toronto",1,FALSE
"Guthrie Public School","Simcoe County DSB","Oro Station","233480","Guthrie Public School","Simcoe County DSB","Oro-Medonte",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","756830","Sacred Heart Catholic School","Algonquin and Lakeshore CDSB","Marmora",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","764370","Sacred Heart Catholic School","Algonquin and Lakeshore CDSB","Batawa",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","868370","Sacred Heart Catholic School","Algonquin and Lakeshore CDSB","Wolfe Island",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","755923","Sacred Heart Catholic School","Huron-Superior CDSB","Espanola",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","758914","Sacred Heart Catholic School","Northeastern CDSB","Kirkland Lake",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","757748","Sacred Heart Catholic School","St Clair CDSB","Sarnia",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","758108","Sacred Heart Catholic School","St Clair CDSB","Port Lambton",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","756334","Sacred Heart Catholic School","Toronto CDSB","Toronto",1,FALSE
"Sacred Heart Catholic School","Toronto CDSB","Scarborough","756059","Sacred Heart Catholic School","Wellington CDSB","Guelph",1,FALSE
"Lake Avenue Public School","Hamilton-Wentworth DSB","Hamilton","303755","Lake Avenue Public School","Hamilton-Wentworth DSB","Stoney Creek",1,FALSE
"Mary Ward Catholic Secondary School","Toronto CDSB","Scarborough","730882","Mary Ward Catholic Secondary School","Toronto CDSB","Toronto",1,FALSE
"Sacred Heart Catholic High School","Bruce-Grey CDSB","Walkerton","756709","Sacred Heart Catholic High School","York CDSB","Newmarket",1,FALSE
"Holy Trinity Catholic School","Wellington CDSB","Guleph","767339","Holy Trinity Catholic School","St Clair CDSB","Sarnia",1,FALSE
"Holy Trinity Catholic School","Wellington CDSB","Guleph","704334","Holy Trinity Catholic School","Wellington CDSB","Guelph",1,FALSE
"Academie Providence Soeurs Antonines","Private","Ottawa","666548","Académie Providence Soeurs Antonines","Private","Ottawa",1,TRUE
"St. Isaac Jogues Catholic School","Toronto CDSB","North York","798258","St Isaac Jogues Catholic School","Durham CDSB","Pickering",1,FALSE
"St. Isaac Jogues Catholic School","Toronto CDSB","North York","798290","St Isaac Jogues Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Benedict Catholic School","Toronto CDSB","Etobcioke","776980","St Benedict Catholic School","Toronto CDSB","Toronto",1,FALSE
"École secondaire catholique Paul-Desmarais","CECCE","Stittsville","758231","École secondaire catholique Paul-Desmarais","CSDC du Centre-Est de l'Ontario","Ottawa",1,FALSE
"All Saints Catholic Elementary School","Toronto CDSB","Etobicoke","686263","All Saints Catholic Elementary School","York CDSB","Unionville",1,FALSE
"St Barbara Catholic School","Toronto CDSB","Scarborough","775819","St Barbara Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. John Henry Newman Catholic High School","Toronto CDSB","Scarborough","694193","St John Henry Newman Catholic High School","Toronto CDSB","SCARBOROUGH",1,FALSE
"St. Margaret Catholic School","Toronto CDSB","Toronto","821578","St Margaret Catholic School","Toronto CDSB","Toronto",1,TRUE
"Our Lady of the Assumption Catholic School","Toronto CDSB","North York","748773","Our Lady of the Assumption Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Clare Catholic Elementary School","Toronto CDSB","York","784303","St Clare Catholic Elementary School","York CDSB","Woodbridge",1,FALSE
"Francis Libermann Catholic High School","Toronto CDSB","Scarborough","707708","Francis Libermann Catholic High School","Toronto CDSB","Toronto",1,FALSE
"Holy Angels Catholic School","Toronto CDSB","Etobicoke","714062","Holy Angels Catholic School","Toronto CDSB","Toronto",1,FALSE
"Holy Family Separate School","Simcoe Muskoka CDSB","Alliston","711985","Holy Family Separate School","Bruce-Grey CDSB","Hanover",1,FALSE
"Our Lady of Sorrows Catholic School","Toronto CDSB","Etobicoke","748382","Our Lady of Sorrows Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Simon Catholic School","Toronto CDSB","North York","850381","St Simon Catholic School","Toronto CDSB","North York",1,TRUE
"St. Jude Catholic School","Toronto CDSB","North York","772020","St Jude Catholic School","Durham CDSB","Ajax",1,FALSE
"St. Jude Catholic School","Toronto CDSB","North York","816370","St Jude Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Charles Catholic School","Simcoe Muskoka CDSB","Bradford","782181","St Charles Catholic School","Sudbury CDSB","Chelmsford",1,FALSE
"St. Charles Catholic School","Simcoe Muskoka CDSB","Bradford","782963","St Charles Catholic School","Toronto CDSB","Toronto",1,FALSE
"Holy Cross Catholic School","Toronto CDSB","East York","817448","Holy Cross Catholic School","Huron-Superior CDSB","Sault Ste Marie",1,FALSE
"Holy Cross Catholic School","Toronto CDSB","East York","724467","Holy Cross Catholic School","Nipissing-Parry Sound CDSB","North Bay",1,FALSE
"Holy Cross Catholic School","Toronto CDSB","East York","720518","Holy Cross Catholic School","Simcoe Muskoka CDSB","Innisfil",1,FALSE
"Holy Cross Catholic School","Toronto CDSB","East York","715239","Holy Cross Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Richard Catholic School","Toronto CDSB","Scarborough","848875","St Richard Catholic School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire catholique de la Découverte","CECCE","Cumberland","705390","École élémentaire catholique De la Découverte","CSDC du Centre-Est de l'Ontario","Cumberland",1,TRUE
"St. Agatha Catholic School","Toronto CDSB","Scarborough","765023","St Agatha Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Fidelis Catholic School","Toronto CDSB","North York","789917","St Fidelis Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. John the Evangelist Catholic School","Toronto CDSB","York","805327","St John the Evangelist Catholic School","Durham CDSB","Whitby",1,FALSE
"St. John the Evangelist Catholic School","Toronto CDSB","York","802468","St John the Evangelist Catholic School","Toronto CDSB","Weston",1,FALSE
"St. John the Evangelist Catholic School","Toronto CDSB","York","803790","St John the Evangelist Catholic School","Windsor-Essex CDSB","Woodslee",1,FALSE
"St. André Bessette Catholic School","Durham CDSB","Ajax","771406","St André Bessette Catholic School","Durham CDSB","Ajax",1,TRUE
"Lasalle Secondary School","Rainbow DSB","Greater Sudbury","920622","Lasalle Secondary School","Rainbow DSB","Sudbury",1,FALSE
"St. Ignatius of Loyola Catholic School","Wellington CDSB","Guelph","798215","St Ignatius of Loyola Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Ignatius of Loyola Catholic School","Wellington CDSB","Guelph","739395","St Ignatius of Loyola Catholic School","Wellington CDSB","Guelph",1,TRUE
"Christ The King Catholic Elementary School","Windsor-Essex CDSB","Windsor","697460","Christ The King Catholic Elementary School","Waterloo CDSB","Cambridge",1,FALSE
